hsa.miR.19b.3p,hsa.miR.1273h.3p,hsa.miR.4433a.3p,hsa.miR.485.3p,hsa.let.7b.5p,hsa.miR.134.5p,hsa.miR.106b.5p,hsa.miR.182.5p,hsa.miR.17.5p,hsa.miR.1304.3p,hsa.miR.30d.5p,hsa.miR.20b.5p,hsa.miR.421,hsa.miR.4433b.5p,hsa.miR.320b,hsa.miR.375.3p,hsa.miR.500a.3p,hsa.miR.139.3p,hsa.miR.493.5p,Class,PredictedProbability,PredictedClass
9.862243354,2.645368671,9.360463169,7.519496841,14.4046236,6.453722466,4.345059058,8.765951995,6.578044838,3.883558653,12.31340682,8.014726419,6.833260367,9.360463169,9.610260227,9.051414953,4.687119629,8.232790004,2.565621951,Case,0.92704519980841,Case
9.604408055,5.064873911,8.482636903,8.86262629,15.11650138,8.395875292,4.74631007,8.175238519,7.949986162,4.259506788,12.39575308,7.933958571,5.83442152,8.482636903,9.442029503,7.922248383,4.943268228,7.555277732,4.836787753,Case,0.505575842373798,Case
8.837732052,7.087030871,7.478193075,10.92611832,14.76194755,10.50544729,3.161948266,8.479948246,7.320270595,4.816646718,11.44452925,6.7887031,5.005066039,7.478193075,9.135513466,8.173689976,3.382405128,8.566267189,7.613638838,Case,0.915391172687766,Case
8.955181674,5.79615492,8.237636458,8.535955869,14.94685027,8.369194556,3.270033099,7.428919688,7.709290565,2.124404734,11.52991977,6.513938189,4.311669677,8.237636458,10.36290864,9.519240368,4.878259466,8.261373878,5.645096749,Case,0.936491584740261,Case
8.803883985,5.613609449,10.16258134,7.688943229,14.50593465,7.004423421,1.776971836,8.291773462,6.696524299,6.021096866,11.33044844,6.619592728,5.753192359,10.16258134,9.630224542,8.626509714,4.448215398,9.057412243,2.044170917,Case,0.981139852842703,Case
9.705289126,4.607319496,9.922902069,9.925317167,14.58003405,9.320518605,3.926389162,8.450889669,6.45856093,5.718600965,12.58574928,7.305351325,6.262529435,9.922902069,9.590571306,7.914402786,4.637152436,8.23301622,5.748567398,Case,0.831501136814726,Case
10.4049958,-0.235099153,7.25176268,6.064475766,14.29788917,3.117980311,5.968413307,9.429531692,7.96017693,1.592533799,11.66200691,8.416523308,6.344805546,7.25176268,9.290795092,7.98295152,-1.601797932,7.4681358,-3.126324125,Case,0.891751914281446,Case
9.826642421,5.66865174,7.41782116,8.392708813,14.99143165,7.687735247,4.459956284,8.928034924,8.251356452,4.92578699,12.05869893,8.112264818,5.715671747,7.41782116,9.62075775,10.72238403,3.978602618,8.132011696,5.359151735,Case,0.841520595887435,Case
9.693903147,6.531382729,9.755895759,8.359224723,15.45599629,7.160160896,5.358010141,8.451769645,8.411228639,3.391906532,11.92063275,8.503436401,5.604572823,9.755895759,9.579525899,8.713659918,4.131272891,8.710173873,-3.410716428,Case,0.548032198441677,Case
9.473082328,6.189924036,8.932674133,7.703268384,14.24907058,7.706661578,2.774482249,8.440745536,6.81094036,4.906578868,13.32031086,8.862905215,7.503143095,8.932674133,8.720339783,8.086992968,5.881609305,7.76057666,4.188149423,Case,0.721243812935024,Case
